Humidity,Gaming_Hours,Physical_Activity_Hours,Age,Screen_Time_Hours,Source,Step_count,Quality of Sleep,User_ID,Stress_Level,Occupation,Support_Systems_Access,Stress Level,Mental_Health_Status,Temperature,Gender,Sleep Duration,Work_Environment_Impact,Sleep_Hours,Physical Activity Level,Person ID,Technology_Usage_Hours,Online_Support_Usage,Social_Media_Usage_Hours,Unnamed: 8
,0.68,6.71,23,12.36,tech.csv,,,USER-00001,Low,,No,,Good,,Female,,Negative,8.01,,,6.57,Yes,6.0,
,3.74,5.88,21,7.61,tech.csv,,,USER-00002,High,,Yes,,Poor,,Male,,Positive,7.28,,,3.01,No,2.57,
,1.26,9.81,51,3.16,tech.csv,,,USER-00003,High,,No,,Fair,,Male,,Negative,8.04,,,3.04,No,6.14,
,2.59,5.28,25,13.08,tech.csv,,,USER-00004,Medium,,Yes,,Excellent,,Female,,Negative,5.62,,,3.84,Yes,4.48,
,0.29,4.0,53,12.63,tech.csv,,,USER-00005,Low,,No,,Good,,Male,,Positive,5.55,,,1.2,Yes,0.56,
,0.11,6.54,58,1.34,tech.csv,,,USER-00006,Low,,Yes,,Poor,,Male,,Neutral,8.61,,,5.59,Yes,5.74,
,3.79,1.34,63,9.78,tech.csv,,,USER-00007,Medium,,Yes,,Excellent,,Female,,Neutral,8.61,,,3.38,No,2.55,
,4.74,5.27,51,8.14,tech.csv,,,USER-00008,Medium,,Yes,,Excellent,,Female,,Neutral,7.11,,,7.18,No,4.1,
,0.08,5.22,57,6.02,tech.csv,,,USER-00009,Medium,,No,,Fair,,Other,,Positive,7.19,,,10.86,No,4.11,
,0.81,0.47,31,6.87,tech.csv,,,USER-00010,High,,No,,Excellent,,Other,,Positive,5.09,,,4.3,No,7.23,
,1.88,3.01,53,14.87,tech.csv,,,USER-00011,High,,Yes,,Poor,,Other,,Neutral,5.13,,,4.78,No,3.94,
,1.68,6.35,64,13.68,tech.csv,,,USER-00012,Low,,No,,Fair,,Other,,Neutral,8.57,,,4.83,Yes,4.85,
,2.54,0.49,40,10.65,tech.csv,,,USER-00013,High,,Yes,,Poor,,Female,,Negative,7.9,,,3.06,Yes,4.06,
,3.3,7.15,24,1.65,tech.csv,,,USER-00014,High,,No,,Excellent,,Other,,Positive,4.82,,,5.82,No,5.22,
,0.94,7.14,38,10.27,tech.csv,,,USER-00015,High,,Yes,,Poor,,Female,,Negative,7.13,,,10.48,No,4.53,
,4.17,5.05,53,5.08,tech.csv,,,USER-00016,Medium,,Yes,,Good,,Male,,Negative,8.53,,,7.51,No,0.21,
,4.76,9.65,26,11.4,tech.csv,,,USER-00017,High,,Yes,,Fair,,Female,,Neutral,4.62,,,6.4,Yes,5.4,
,2.01,8.96,55,14.88,tech.csv,,,USER-00018,Low,,Yes,,Fair,,Female,,Negative,8.95,,,2.03,No,6.56,
,2.13,7.51,55,11.49,tech.csv,,,USER-00019,High,,Yes,,Excellent,,Male,,Neutral,7.71,,,2.94,No,0.61,
,1.29,7.77,37,6.0,tech.csv,,,USER-00020,Medium,,Yes,,Good,,Other,,Positive,5.69,,,10.74,No,3.85,
,3.16,5.65,57,9.55,tech.csv,,,USER-00021,Low,,Yes,,Fair,,Female,,Neutral,7.07,,,7.69,No,7.33,
,2.28,0.06,34,1.51,tech.csv,,,USER-00022,High,,No,,Fair,,Male,,Negative,4.76,,,8.44,Yes,1.14,
,2.92,6.48,38,2.83,tech.csv,,,USER-00023,Low,,No,,Poor,,Female,,Neutral,4.01,,,1.27,Yes,1.22,
,3.96,7.59,39,9.8,tech.csv,,,USER-00024,Low,,Yes,,Excellent,,Male,,Negative,5.83,,,2.06,Yes,5.99,
,1.52,8.7,42,14.16,tech.csv,,,USER-00025,Medium,,No,,Poor,,Other,,Positive,5.73,,,6.23,Yes,3.88,
,0.19,0.34,27,3.03,tech.csv,,,USER-00026,Medium,,Yes,,Poor,,Other,,Positive,4.85,,,7.39,Yes,4.15,
,2.49,6.55,23,12.79,tech.csv,,,USER-00027,Medium,,No,,Poor,,Male,,Positive,5.33,,,2.2,Yes,0.06,
,3.2,4.97,50,14.72,tech.csv,,,USER-00028,High,,No,,Good,,Female,,Neutral,8.37,,,1.16,Yes,0.51,
,2.17,9.87,60,5.36,tech.csv,,,USER-00029,Low,,No,,Excellent,,Other,,Negative,5.36,,,5.92,No,7.43,
,0.32,9.28,20,1.63,tech.csv,,,USER-00030,Medium,,Yes,,Excellent,,Female,,Neutral,8.01,,,3.65,No,7.48,
,2.18,9.78,40,8.48,tech.csv,,,USER-00031,Low,,Yes,,Fair,,Female,,Positive,8.27,,,5.98,No,4.07,
